Date,BTC_USD
2020-01-31,9342.23
2020-02-29,8545.45
2020-03-31,6423.61
2020-04-30,8637.56
2020-05-31,9450.47
2020-06-30,9136.47
2020-07-31,11352.72
2020-08-31,11657.81
2020-09-30,10779.42
2020-10-31,13803.41
2020-11-30,19686.87
2020-12-31,28972.4
2021-01-31,33143.22
2021-02-28,45261.03
2021-03-31,58793.8
2021-04-30,57757.97
2021-05-31,37290.83
2021-06-30,35056.39
2021-07-31,41474.72
2021-08-31,47159.26
2021-09-30,43829.34
2021-10-31,61349.75
2021-11-30,56975.35
2021-12-31,46197.31
2022-01-31,38494.66
2022-02-28,43189.46
2022-03-31,45522.65
2022-04-30,37650.13
2022-05-31,31782.16
2022-06-30,19908.49
2022-07-31,23308.14
2022-08-31,20050.28
2022-09-30,19425.63
2022-10-31,20492.56
2022-11-30,17162.35
2022-12-31,16531.31
2023-01-31,23129.7
2023-02-28,23137.23
2023-03-31,28474.62
2023-04-30,29236.81
2023-05-31,27220.17
2023-06-30,30471.06
2023-07-31,29231.47
2023-08-31,25937.29
2023-09-30,26964.27
2023-10-31,34657.73
2023-11-30,37729.58
2023-12-31,42280.14
2024-01-31,42555.08
2024-02-29,61179.58
2024-03-31,71312.91
2024-04-30,60633.97
2024-05-31,67482.25
2024-06-30,62685.88
2024-07-31,64617.83
2024-08-31,58989.17
2024-09-30,63314.81
2024-10-31,70207.54
2024-11-30,96473.51
2024-12-31,93391.98
2025-01-31,102412.41
2025-02-28,84322.57
2025-03-31,82539.52
2025-04-30,94186.14
2025-05-31,104696.46
2025-06-30,107147.75
2025-07-31,116009.4
2025-08-31,108892.95
2025-09-30,113952.27
2025-10-31,111067.97
