drop_month,r_without,delta
2023-01-31,-0.106798,-0.038188
2022-05-31,-0.105244,-0.036634
2020-04-30,-0.102686,-0.034077
2022-06-30,-0.099685,-0.031076
2020-07-31,-0.096835,-0.028226
2021-12-31,-0.089889,-0.021279
2025-04-30,-0.087973,-0.019364
2024-03-31,-0.087339,-0.018729
2020-03-31,-0.083779,-0.015169
2022-09-30,-0.082466,-0.013857
2023-08-31,-0.081664,-0.013055
2020-09-30,-0.080893,-0.012283
2022-04-30,-0.080392,-0.011783
2023-03-31,-0.078256,-0.009647
2024-06-30,-0.075819,-0.00721
2024-10-31,-0.075359,-0.00675
2021-06-30,-0.074448,-0.005839
2021-09-30,-0.074198,-0.005588
2023-05-31,-0.073515,-0.004906
2023-02-28,-0.072862,-0.004253
2023-11-30,-0.071901,-0.003292
2025-05-31,-0.071888,-0.003278
2024-09-30,-0.07158,-0.002971
2024-12-31,-0.071215,-0.002606
2022-02-28,-0.070937,-0.002328
2022-03-31,-0.070795,-0.002185
2023-12-31,-0.070693,-0.002084
2025-01-31,-0.070414,-0.001805
2023-07-31,-0.070333,-0.001724
2020-05-31,-0.069771,-0.001162
2024-01-31,-0.069315,-0.000706
2020-06-30,-0.069099,-0.000489
2023-09-30,-0.068677,-6.7e-05
2025-06-30,-0.068556,5.4e-05
2020-08-31,-0.068453,0.000156
2024-07-31,-0.068402,0.000207
2023-04-30,-0.068146,0.000463
2024-05-31,-0.068108,0.000502
2022-10-31,-0.067973,0.000637
2022-01-31,-0.067797,0.000813
2025-07-31,-0.067051,0.001559
2021-01-31,-0.06697,0.001639
2021-04-30,-0.066843,0.001766
2025-03-31,-0.065843,0.002767
2022-08-31,-0.065771,0.002838
2020-02-29,-0.06494,0.003669
2021-11-30,-0.06481,0.0038
2021-08-31,-0.063125,0.005485
2022-12-31,-0.063057,0.005553
2023-10-31,-0.062781,0.005828
2024-08-31,-0.062696,0.005914
2023-06-30,-0.061948,0.006661
2021-10-31,-0.061415,0.007195
2021-07-31,-0.05994,0.00867
2020-10-31,-0.056466,0.012143
2020-12-31,-0.055436,0.013174
2022-11-30,-0.055306,0.013303
2024-02-29,-0.055274,0.013335
2024-11-30,-0.050005,0.018604
2022-07-31,-0.048058,0.020552
2020-11-30,-0.044578,0.024032
2021-02-28,-0.037564,0.031046
2025-02-28,-0.035529,0.033081
2024-04-30,-0.034392,0.034218
2021-03-31,-0.032104,0.036505
2021-05-31,-0.02036,0.048249
